,Years,personal,corporate,consumption,other taxes,autonomous,federal transfers,total revenue,mission health,mission education,other missions,mission spending,debt service,total spending,surplus,generation fund,fund contribution,net surplus,reserve,debt,gross debt,gdp,debt-to-gdp,gdp growth,pop growth,emp growth
0,2019,31773.0,9183.0,21001.0,29669.0,91626.0,23120.0,114746.0,41522.0,23887.0,32335.0,97744.0,8722.0,106466.0,8280.0,8293.0,3477.0,4803.0,,195188.0,199098.0,458733.0,0.43401717338844165,0.022653658094013096,,
1,2020,40537.327369438695,11669.666996662445,26697.12624246854,37703.07635020996,116607.19695877963,29380.670909597706,145987.86786837733,53535.41344646198,30063.871598230522,41091.00319471633,124690.28823940884,8422.715792857145,133113.00403226598,12874.863836111355,15489.197515164675,2673.1975151646748,10201.66632094668,17375.66632094668,203523.50913741314,203541.7652169639,582953.4302929275,0.3491561326171225,0.020790264255955992,-0.0016157816716013684,0.012134616955524535
2,2021,51646.687275455384,14799.69891648519,33889.11044016748,47815.77558022423,148151.2722123323,37261.1389468733,185412.4111592056,68810.47043535368,37986.68161512047,52112.4103740116,158909.56242448575,8488.384070381111,167397.94649486686,18014.46466433874,18359.519059442537,2870.3215442778605,15144.143120060879,25109.691974230027,198110.21481748577,199417.55036741585,739312.8915448111,0.2697336305751796,0.018219471962476762,0.005969244900647652,0.009563824662045306
3,2022,65677.36410148401,18772.24711082761,42924.8957214481,60650.5280987852,188025.03503254493,47262.80662118418,235287.8416537291,88171.57597244933,47535.94405585409,66100.46938131447,201807.98940961788,8262.61103085214,210070.60044047,25217.241213259083,21511.642833950355,3152.1237745078183,22065.117438751266,31510.5900660705,184978.807642013,188413.01382183045,937759.9078614049,0.2009181798478814,0.018420879151632607,0.004766553918422289,0.00976523185120115
4,2023,83289.49130174256,23773.55040442612,54266.278098362054,76809.04573112476,238138.3655356555,59854.5666285889,297992.9321642444,111717.44298996459,59773.86645742812,83710.96072385044,255202.27017124314,7714.937555869387,262917.2077271125,35075.724437131896,24963.54535032192,3451.9025163715664,31623.82192076033,39437.581159066875,164489.58096878286,171117.95934547955,1187597.963375107,0.1440874476234104,0.016420064900691488,0.0029708694187693396,0.007764417600260032
5,2024,105958.58550941614,30157.63798055902,68881.79590623996,97435.14769086416,302433.16708707926,75927.75673641778,378360.923823497,145484.08690829953,74935.39995061516,106190.48503771928,326609.971896634,6860.390451976595,333470.3623486106,44890.56147488643,28710.903325398496,3747.357975076574,41143.20349980986,50020.55435229159,137998.31651844434,149362.95019367326,1506512.4407857757,0.0991448501518963,0.01853740680417316,0.007188116562337754,0.009881759503741705
6,2025,134854.5297759806,38281.30677507035,87480.24649389723,123681.59541648289,384297.67846143106,96380.6830708512,480678.36153228226,189276.20496412358,93865.46489040428,134795.38871522376,417937.0585697516,5755.515501079976,423692.5740708316,56985.78746145067,0.0,4036.3217539148036,52949.46570753587,63553.886110624735,70999.99496072347,121870.82002619049,1912326.9847379227,0.06372906987080582,0.01937350994624366,0.007174946064466781,0.010717862645812204
7,2026,171262.0492213347,48466.0263834633,110917.76467640315,156587.0126070971,487232.8528882982,122022.70826371245,609255.5611520107,244372.19825758148,117138.91613328825,170657.62420878647,532168.7385996561,2961.2069326833175,535129.9455323395,74125.61561967118,0.0,0.0,74125.61561967118,80269.49182985093,20129.177773891803,84534.15653436254,2421100.4770734254,0.034915592035463815,0.016049423762760983,0.005124197498201255,0.007393776462329527
8,2027,217255.55484497338,61426.07949874655,140559.40740254815,198459.14762586425,617700.1893721323,154652.17880986826,772352.3681820006,316194.6000174514,148362.00788032805,216292.30976717512,680848.9176649546,839.5304930125304,681688.4481579671,90663.92002403352,0.0,0.0,90663.92002403352,102253.26722369506,-40263.16194516323,41364.02395521837,3068514.616867962,0.013480145646964101,0.017404903648243663,0.006055805689229032,0.008749256347812207
9,2028,275509.6298885911,77885.83333216059,177921.96954225286,251638.33051637502,782955.7632793796,196092.83095279898,979048.5942321785,405499.69267460814,188140.88348227134,274250.0730475239,867890.6492044034,-1679.261447127201,866211.3877572762,112837.20647490234,0.0,0.0,112837.20647490234,129931.70816359142,-114913.31945462778,-11413.28415544932,3890754.871170861,-0.0029334369636128408,0.01796035116891871,0.004506448080011438,0.009304703868487252
10,2029,349229.050327706,98614.27127813142,225568.1058902368,318609.04002514214,992020.4675212164,248280.73091042123,1240301.1984316376,525214.9829771412,240386.798233586,347238.6433386017,1112840.4245493289,-4792.706230682656,1108047.7183186463,132253.4801129913,0.0,0.0,132253.4801129913,166207.15774779694,-197585.99420495288,-66540.58939094463,4926235.490169994,-0.013507391094827353,0.01613874512416159,0.006173294032608467,0.007483097823730134
11,2030,443145.0838961039,124915.59430874794,285848.9619923143,403584.96869718435,1257494.6088943505,314499.4599170481,1571994.0688113985,680582.5759877155,303588.9555678615,439850.3475959233,1424021.8791515003,-8240.747286876573,1415781.1318646236,156212.93694677483,0.0,0.0,156212.93694677483,212367.16977969353,-290784.9039452108,-124788.49783068927,6240107.298707924,-0.01999781283512993,0.016709094837159443,0.005827517622293499,0.008053447536727987
12,2031,561235.2995551734,158308.87372871934,361018.16638819803,511474.0253356609,1592036.3650077516,398573.57732854097,1990609.9423362925,870821.1866496454,384259.9171630069,557434.1099878186,1812515.213800471,-12127.807529543474,1800387.4062709275,190222.53606536495,0.0,0.0,190222.53606536495,270058.1109406391,-401956.954632067,-191585.26933188603,7908254.880997125,-0.02422598565863746,0.017326746550433102,0.0032055453240467102,0.008671099250001646
13,2032,711314.0820177604,200677.49265487242,456813.80614839325,648361.1597056964,2017166.5405267226,505244.8687989383,2522411.4093256607,1124426.7565779383,487466.23469197704,706621.6623102799,2318514.6535801953,-16764.47612926171,2301750.1774509335,220661.23187472718,0.0,0.0,220661.23187472718,345262.52661764,-520337.7157933797,-253663.7048092343,10024761.868457755,-0.025303713757767177,0.017632621774295375,0.005300742629827937,0.008976974473863919
14,2033,901215.1374437162,254336.19510579546,577880.0655925177,821724.9888482895,2555156.386990319,640341.1554879658,3195497.542478285,1448824.5698230555,619959.2730999264,895563.635930077,2964347.478853059,-21701.79944655389,2942645.679406505,252851.86307177972,0.0,0.0,252851.86307177972,441396.85191097576,-642739.3932063569,-304760.019485784,12705260.349500908,-0.023986916529243393,0.017387746084738597,0.005201386655819817,0.00873209878430714
15,2034,1139859.9128811203,321795.15729211137,729009.6557992942,1039675.5441249758,3230340.2700975016,810182.2973531105,4040522.567450612,1861574.836299012,789551.7441987586,1133098.8142263335,3784225.394724104,-26806.82369237085,3757418.5710317334,283103.99641887844,0.0,0.0,283103.99641887844,563612.78565476,-760209.8146002875,-332586.3468407716,16075145.147564204,-0.02068947706460784,0.015235398989338466,0.0029643228334563787,0.0065797516889070096
16,2035,1441881.0428419735,407353.17776075104,920389.1342683025,1316101.6477168375,4085725.0025878646,1025591.3611922644,5111316.363780129,2377388.4366942765,996659.5997150389,1434364.042567123,4808412.078976438,-31706.179338936283,4776705.899637502,334610.4641426271,0.0,0.0,334610.4641426271,716505.8849456252,-886965.7738933461,-345646.9425512527,20349160.981566217,-0.016985808056871013,0.015877277919921783,0.00286228466541516,0.007221630619490327
17,2036,1826663.1821813618,516016.2194879012,1162900.5116428984,1667176.8720447067,5172756.785356868,1299171.838675844,6471928.624032712,3063816.114220083,1253005.119574028,1816986.2198781758,6133807.453672287,-36992.808241166065,6096814.645431121,375113.97860159073,0.0,0.0,375113.97860159073,914522.1968146681,-994440.8667452983,-308723.1354580439,25777378.67955389,-0.011976513954187166,0.016753882526407426,0.003863011889286838,0.00809823522597597
18,2037,2309172.8348456826,652823.402385794,1466810.7851931802,2109181.91499337,6537988.937418027,1643610.7005509697,8181599.637968997,3933569.59797882,1587852.7887040977,2298708.996639949,7820131.383322867,-41475.28729232713,7778656.09603054,402943.5419384567,0.0,0.0,402943.5419384567,1166798.4144045808,-1057027.1505236586,-189510.6548998056,32611525.41072007,-0.005811155795782236,0.01512186580813547,0.00235151710401027,0.0064662185077040135
19,2038,2922920.9911279026,826629.654632422,1853858.3637690467,2670725.821985116,8274134.831514488,2081201.9617882606,10355336.793302748,5092211.062863973,2010281.170374389,2910712.1727691796,10013204.406007541,-44085.58237076888,9969118.823636772,386217.96966597624,0.0,0.0,386217.96966597624,1495367.8235455158,-1003144.1699303759,95337.99009134306,41293945.481704764,0.0023087643716094516,0.016237778258928148,0.0046252901836112414,0.007582130958496691
20,2039,3688205.890686914,1043922.0852812522,2336707.716418676,3372767.5430915253,10441603.235478368,2628278.189230377,13069881.424708745,6500351.301789875,2563166.259308636,3675838.029790842,12739355.590889353,-41838.27720159619,12697517.313687757,372364.11102098785,0.0,0.0,372364.11102098785,1867731.9345665036,-862294.8327134021,524940.4070434441,52148699.76558038,0.010066222348844057,0.012865515931017046,0.002637417803502018,0.004209868630585589
