,Years,personal,corporate,consumption,other taxes,autonomous,federal transfers,total revenue,mission health,mission education,other missions,mission spending,debt service,total spending,surplus,generation fund,fund contribution,net surplus,reserve,debt,gross debt,gdp,debt-to-gdp,gdp growth,pop growth,emp growth
0,2019,31773.0,9183.0,21001.0,29669.0,91626.0,23120.0,114746.0,41522.0,23887.0,32335.0,97744.0,8722.0,106466.0,8280.0,8293.0,3477.0,4803.0,,195188.0,199098.0,458733.0,0.43401717338844165,0.022653658094013096,,
1,2020,43763.130276803335,12587.966996662446,28825.52726643509,40669.97635020994,125846.60089011081,31692.670909597706,157539.2717997085,57818.24652217894,32468.981326088968,44324.503194716366,134611.73104298426,8422.715792857145,143034.4468358414,14504.824963867111,15489.197515164675,2673.1975151646748,11831.627448702437,19005.627448702435,203647.40913741314,204885.9652169639,628826.7302929276,0.32582260795676016,0.020790264255955992,-0.0016157816716013684,0.012134616955524535
2,2021,60194.76641684563,17223.10155725458,39508.05583414457,55645.4535666107,172571.37737485548,43362.52945701033,215933.9068318658,80260.53271579655,44307.66543587653,60645.64835607391,185213.846507747,8493.551585381112,193707.3980931281,22226.5087387377,18359.519059442537,2870.3215442778605,19356.18719445984,29056.109713969217,196665.50066138772,201193.21979242517,860372.9768772803,0.23384418757857206,0.018219471962476762,0.005969244900647652,0.009563824662045306
3,2022,82640.78402049579,23568.451774696165,54031.55710133524,76146.40049041281,236387.19338694,59338.19068180065,295725.38406874065,111070.79231140611,59881.599158488076,82988.77144013945,253941.16291003363,8202.356131156022,262143.51904118966,33581.865027550986,21511.642833950355,3152.1237745078183,30429.74125304317,39321.52785617845,179681.10913596686,189488.84090798593,1177352.3454167154,0.16094488760789594,0.018420879151632607,0.004766553918422289,0.00976523185120115
4,2023,113145.82071799862,32204.405403589157,73753.22502605175,104047.96950006389,323151.4206477034,81080.89436251565,404232.31501021906,151990.34782727624,81321.68541184529,113397.52245726397,346709.5556963855,7493.985687463648,354203.54138384917,50028.77362636989,24963.54535032192,3451.9025163715664,46576.87110999833,53130.531207577376,151258.3637006874,169090.2402321033,1608757.8682352898,0.10510608437153136,0.016420064900691488,0.0029708694187693396,0.007764417600260032
5,2024,155398.59193631567,44072.933458698215,101080.6872313552,142393.5383628572,442945.7509892263,110962.2369122403,553907.9879014665,213763.8536219759,110104.68709367623,155188.75132168207,479057.29203733423,6308.554183202242,485365.84622053645,68542.1416809301,28710.903325398496,3747.357975076574,64794.78370585353,72804.87693308046,112084.38815694013,141940.6205166657,2201645.3211705335,0.06447024829648815,0.01853740680417316,0.007188116562337754,0.009881759503741705
6,2025,213518.93781423394,60352.30758396482,138607.41600861843,194989.93942161085,607468.600828428,151948.74783200116,759417.3486604292,300357.5496018535,148952.69604578416,212511.36510154663,661821.6107491843,4674.719588916954,666496.3303381013,92921.01832232799,0.0,4036.3217539148036,88884.69656841319,99974.44955071519,25764.967265423133,105965.25142605937,3014874.781108019,0.03514748011760386,0.01937350994624366,0.007174946064466781,0.010717862645812204
7,2026,292754.8372789036,82444.23499782807,189753.73047967182,266365.89438642724,831318.6971428307,207569.49941737828,1038888.1965602089,418811.0039888437,200755.51728775838,290301.02784000547,909867.5491166075,1074.5831704486122,910942.1322870562,127946.06427315273,0.0,0.0,127946.06427315273,136641.31984305842,-54390.58442394476,55166.96753930207,4118467.95744949,0.013395021670501524,0.016049423762760983,0.005124197498201255,0.007393776462329527
8,2027,400941.1129820249,112734.65121355826,259634.18660623592,364230.03014865075,1137539.9809504698,283831.5513511344,1421371.5323016043,585254.137500297,274607.7224437779,396959.0490025491,1256820.908946624,-2268.4758746529537,1254552.4330719712,166819.0992296331,0.0,0.0,166819.0992296331,188182.86496079568,-154457.61552009435,-4648.0817338533525,5631613.2805346,-0.000825355276066136,0.017404903648243663,0.006055805689229032,0.008749256347812207
9,2028,548922.5559868789,154216.53306300472,354849.56828504574,498252.23994841427,1556240.8972833436,388270.3086591168,1944511.2059424603,810595.7619459674,376094.4966285765,543024.2400732066,1729714.4986477506,-6441.985835870222,1723272.5128118803,221238.69313058,0.0,0.0,221238.69313058,258490.87692178204,-284580.9042836048,-79647.40183692657,7703823.680887659,-0.010338684416483081,0.01796035116891871,0.004506448080011438,0.009304703868487252
10,2029,751200.9880449016,210681.1809560921,485741.42369112954,680681.6898384294,2128305.2825305527,530431.1122405368,2658736.39477109,1133899.7556915516,518977.06772085896,741846.4539056121,2394723.2773180227,-11869.056429371207,2382854.2208886514,275882.17388243834,0.0,0.0,275882.17388243834,357428.1331332977,-433100.0370035751,-153132.43913717073,10524492.016065668,-0.014550102646608845,0.01613874512416159,0.006173294032608467,0.007483097823730134
11,2030,1029109.6841509419,287939.88612372446,664625.2137215589,930293.8561913082,2911968.6401875336,724945.025283732,3636913.6654712656,1586872.8748888408,707859.8478771056,1013888.2955254962,3308621.0182914427,-18063.36511474197,3290557.6531767007,346356.01229456486,0.0,0.0,346356.01229456486,493583.6479765051,-604450.7556345807,-221816.4933708533,14383918.956898022,-0.015421144545901233,0.016709094837159443,0.005827517622293499,0.008053447536727987
12,2031,1407107.5763081876,393707.90769565443,906320.8987283084,1272015.671721918,3979152.054454068,991236.7228491267,4970388.777303195,2192875.8893139805,967631.8404912207,1386316.5844864408,4546824.314291642,-25209.914015359413,4521614.400276283,448774.3770269118,0.0,0.0,448774.3770269118,678242.1600414424,-815446.2789179197,-292260.217978132,19667517.109980475,-0.01486004645852433,0.017326746550433102,0.0032055453240467102,0.008671099250001646
13,2032,1925349.2819981668,538447.7780150803,1238240.2135013868,1739650.1280550389,5441687.401569673,1355647.678069112,6797335.079638785,3058017.685523554,1325724.7375723727,1895971.785050378,6279714.208146305,-34009.93444715525,6245704.2736991495,551630.8059396353,0.0,0.0,551630.8059396353,936855.6410548724,-1035814.4916846263,-320288.16748577816,26897937.988913413,-0.011907536095063944,0.017632621774295375,0.005300742629827937,0.008976974473863919
14,2033,2633559.677173949,736266.8935643764,1691282.4466904835,2378776.267577206,7439885.285006015,1853696.0229999325,9293581.308005948,4255478.289152125,1820940.4242485163,2592528.5858002957,8668947.299200937,-43200.86297818953,8625746.436222747,667834.8717832007,0.0,0.0,667834.8717832007,1293861.965433412,-1247303.533358453,-268901.60564789205,36779910.800987385,-0.007311099994311927,0.017387746084738597,0.005201386655819817,0.00873209878430714
15,2034,3596170.152808316,1005177.6261980024,2303692.2090809057,3247589.566772137,10152629.55485936,2530731.4295652634,12683360.984424625,5905230.199476428,2504591.657008677,3539411.7982263314,11949233.654711436,-52021.46665200007,11897212.188059436,786148.7963651884,0.0,0.0,786148.7963651884,1784581.8282089154,-1407110.6572062983,-71361.71105643245,50213236.1971783,-0.0014211733092885693,0.015235398989338466,0.0029643228334563787,0.0065797516889070096
16,2035,4911223.730623733,1372949.2798973361,3140330.8144352757,4435808.797263866,13860312.62222021,3456668.5561609943,17316981.178381205,8144796.425040394,3414498.6235520802,4834402.152399037,16393697.200991511,-58686.565195911266,16335010.6357956,981970.5425856039,0.0,0.0,981970.5425856039,2450251.59536934,-1538168.6843147199,286300.45023686334,68585118.37255199,0.004174381513518562,0.015877277919921783,0.00286228466541516,0.007221630619490327
17,2036,6717193.178461479,1876483.7588115197,4284096.2970542135,6062658.895805184,18940432.130132396,4724415.1697399905,23664847.299872387,11336174.939204132,4636141.565181822,6607437.911485409,22579754.415871363,-64152.62105509751,22515601.794816267,1149245.5050561205,0.0,0.0,1149245.5050561205,3377340.2692224397,-1507144.27004595,986456.003152021,93738976.81921868,0.010523434718670564,0.016753882526407426,0.003863011889286838,0.00809823522597597
18,2037,9167689.548594981,2561629.0099874455,5834498.091367707,8276268.223599862,25840084.873549994,6449402.451367716,32289487.32491771,15718620.814924406,6345090.705496752,9019957.969938371,31083669.49035953,-62858.68137713074,31020810.8089824,1268676.515935313,0.0,0.0,1268676.515935313,4646016.785157753,-1161521.0158398724,2242547.2416878184,127965126.93439738,0.017524674850183854,0.01512186580813547,0.00235151710401027,0.0064662185077040135
19,2038,12528268.546730662,3499794.3273288654,7961936.379909341,11307350.310086038,35297349.56405491,8811417.276254315,44108766.84030922,21976460.677263245,8675772.576113202,12323407.336837508,42975640.590213954,-48443.72293920726,42927196.86727475,1181569.9730344713,0.0,0.0,1181569.9730344713,5827586.758192224,-689317.4688987392,3961449.1843076358,174830790.71747282,0.022658761469021505,0.016237778258928148,0.0046252901836112414,0.007582130958496691
