age;educ;insch;male;nkids;married;hours_c
18;dec;False;False;0;False;1664.445964107863
18;dec;False;False;0;True;1677.0576947057134
18;dec;False;False;1;False;1588.795019413786
18;dec;False;False;1;True;1601.4067500116364
18;dec;False;False;2;False;1516.4853543990796
18;dec;False;False;2;True;1529.09708499693
18;dec;False;False;3;False;1558.0276562831082
18;dec;False;False;3;True;1570.6393868809587
18;dec;False;False;4;False;1558.0276562831082
18;dec;False;False;4;True;1570.6393868809587
18;dec;False;False;5;False;1558.0276562831082
18;dec;False;False;5;True;1570.6393868809587
18;dec;False;False;6;False;1558.0276562831082
18;dec;False;False;6;True;1570.6393868809587
18;dec;False;False;7;False;1558.0276562831082
18;dec;False;False;7;True;1570.6393868809587
18;dec;False;True;0;False;1664.445964107863
18;dec;False;True;0;True;1677.0576947057134
18;dec;False;True;1;False;1588.795019413786
18;dec;False;True;1;True;1601.4067500116364
18;dec;False;True;2;False;1516.4853543990796
18;dec;False;True;2;True;1529.09708499693
18;dec;False;True;3;False;1558.0276562831082
18;dec;False;True;3;True;1570.6393868809587
18;dec;False;True;4;False;1558.0276562831082
18;dec;False;True;4;True;1570.6393868809587
18;dec;False;True;5;False;1558.0276562831082
18;dec;False;True;5;True;1570.6393868809587
18;dec;False;True;6;False;1558.0276562831082
18;dec;False;True;6;True;1570.6393868809587
18;dec;False;True;7;False;1558.0276562831082
18;dec;False;True;7;True;1570.6393868809587
18;dec;True;False;0;False;1017.685252376393
18;dec;True;False;0;True;1150.0902124271367
18;dec;True;False;1;False;918.4525497995488
18;dec;True;False;1;True;1050.8575098502927
18;dec;True;False;2;False;1279.8357597286108
18;dec;True;False;2;True;1412.2407197793545
18;dec;True;False;3;False;1038.6064151552343
18;dec;True;False;3;True;1171.011375205978
18;dec;True;False;4;False;1038.6064151552343
18;dec;True;False;4;True;1171.011375205978
18;dec;True;False;5;False;1038.6064151552343
18;dec;True;False;5;True;1171.011375205978
18;dec;True;False;6;False;1038.6064151552343
18;dec;True;False;6;True;1171.011375205978
18;dec;True;False;7;False;1038.6064151552343
18;dec;True;False;7;True;1171.011375205978
18;dec;True;True;0;False;1017.685252376393
18;dec;True;True;0;True;1150.0902124271367
18;dec;True;True;1;False;918.4525497995488
18;dec;True;True;1;True;1050.8575098502927
18;dec;True;True;2;False;1279.8357597286108
18;dec;True;True;2;True;1412.2407197793545
18;dec;True;True;3;False;1038.6064151552343
18;dec;True;True;3;True;1171.011375205978
18;dec;True;True;4;False;1038.6064151552343
18;dec;True;True;4;True;1171.011375205978
18;dec;True;True;5;False;1038.6064151552343
18;dec;True;True;5;True;1171.011375205978
18;dec;True;True;6;False;1038.6064151552343
18;dec;True;True;6;True;1171.011375205978
18;dec;True;True;7;False;1038.6064151552343
18;dec;True;True;7;True;1171.011375205978
18;des;False;False;0;False;1350.9471728836138
18;des;False;False;0;True;1519.5681580827352
18;des;False;False;1;False;1416.407396784408
18;des;False;False;1;True;1585.0283819835295
18;des;False;False;2;False;1457.4910883835885
18;des;False;False;2;True;1626.1120735827099
18;des;False;False;3;False;1643.9286153954788
18;des;False;False;3;True;1812.5496005946002
18;des;False;False;4;False;1643.9286153954788
18;des;False;False;4;True;1812.5496005946002
18;des;False;False;5;False;1643.9286153954788
18;des;False;False;5;True;1812.5496005946002
18;des;False;False;6;False;1643.9286153954788
18;des;False;False;6;True;1812.5496005946002
18;des;False;False;7;False;1643.9286153954788
18;des;False;False;7;True;1812.5496005946002
18;des;False;True;0;False;1350.9471728836138
18;des;False;True;0;True;1519.5681580827352
18;des;False;True;1;False;1416.407396784408
18;des;False;True;1;True;1585.0283819835295
18;des;False;True;2;False;1457.4910883835885
18;des;False;True;2;True;1626.1120735827099
18;des;False;True;3;False;1643.9286153954788
18;des;False;True;3;True;1812.5496005946002
18;des;False;True;4;False;1643.9286153954788
18;des;False;True;4;True;1812.5496005946002
18;des;False;True;5;False;1643.9286153954788
18;des;False;True;5;True;1812.5496005946002
18;des;False;True;6;False;1643.9286153954788
18;des;False;True;6;True;1812.5496005946002
18;des;False;True;7;False;1643.9286153954788
18;des;False;True;7;True;1812.5496005946002
18;des;True;False;0;False;1017.685252376393
18;des;True;False;0;True;1150.0902124271367
18;des;True;False;1;False;918.4525497995488
18;des;True;False;1;True;1050.8575098502927
18;des;True;False;2;False;1279.8357597286108
18;des;True;False;2;True;1412.2407197793545
18;des;True;False;3;False;1038.6064151552343
18;des;True;False;3;True;1171.011375205978
18;des;True;False;4;False;1038.6064151552343
