age;educ;insch;male;nkids;married;cons
18;dec;False;False;0;False;10569.672923933307
18;dec;False;False;0;True;9669.594337263808
18;dec;False;False;1;False;10811.665970458296
18;dec;False;False;1;True;9898.5979098177
18;dec;False;False;2;False;13886.495285992976
18;dec;False;False;2;True;12750.812815793324
18;dec;False;False;3;False;13083.953144514147
18;dec;False;False;3;True;12002.855071791262
18;dec;False;False;4;False;13083.953144514147
18;dec;False;False;4;True;12002.855071791262
18;dec;False;False;5;False;13083.953144514147
18;dec;False;False;5;True;12002.855071791262
18;dec;False;False;6;False;13083.953144514147
18;dec;False;False;6;True;12002.855071791262
18;dec;False;False;7;False;13083.953144514147
18;dec;False;False;7;True;12002.855071791262
18;dec;False;True;0;False;11179.152018219742
18;dec;False;True;0;True;10229.39056747791
18;dec;False;True;1;False;11429.59801946867
18;dec;False;True;1;True;10466.614106353874
18;dec;False;True;2;False;14653.483441367584
18;dec;False;True;2;True;13457.992734674051
18;dec;False;True;3;False;13814.557686907343
18;dec;False;True;3;True;12675.840293309653
18;dec;False;True;4;False;13814.557686907343
18;dec;False;True;4;True;12675.840293309653
18;dec;False;True;5;False;13814.557686907343
18;dec;False;True;5;True;12675.840293309653
18;dec;False;True;6;False;13814.557686907343
18;dec;False;True;6;True;12675.840293309653
18;dec;False;True;7;False;13814.557686907343
18;dec;False;True;7;True;12675.840293309653
18;dec;True;False;0;False;13420.95138013085
18;dec;True;False;0;True;15843.253687939037
18;dec;True;False;1;False;15499.026563617686
18;dec;True;False;1;True;17736.26186878625
18;dec;True;False;2;False;13082.393310320074
18;dec;True;False;2;True;15313.036789598595
18;dec;True;False;3;False;9993.03232415418
18;dec;True;False;3;True;12094.2894001151
18;dec;True;False;4;False;9993.03232415418
18;dec;True;False;4;True;12094.2894001151
18;dec;True;False;5;False;9993.03232415418
18;dec;True;False;5;True;12094.2894001151
18;dec;True;False;6;False;9993.03232415418
18;dec;True;False;6;True;12094.2894001151
18;dec;True;False;7;False;9993.03232415418
18;dec;True;False;7;True;12094.2894001151
18;dec;True;True;0;False;13427.17466577178
18;dec;True;True;0;True;15944.512387202403
18;dec;True;True;1;False;15582.684244339913
18;dec;True;True;1;True;17937.646903300076
18;dec;True;True;2;False;13106.052014266968
18;dec;True;True;2;True;15431.620768916233
18;dec;True;True;3;False;9958.326676165581
18;dec;True;True;3;True;12123.69392740834
18;dec;True;True;4;False;9958.326676165581
18;dec;True;True;4;True;12123.69392740834
18;dec;True;True;5;False;9958.326676165581
18;dec;True;True;5;True;12123.69392740834
18;dec;True;True;6;False;9958.326676165581
18;dec;True;True;6;True;12123.69392740834
18;dec;True;True;7;False;9958.326676165581
18;dec;True;True;7;True;12123.69392740834
18;des;False;False;0;False;8496.481719345426
18;des;False;False;0;True;9202.323041549602
18;des;False;False;1;False;9296.607566048222
18;des;False;False;1;True;10039.244197731761
18;des;False;False;2;False;10023.835955780743
18;des;False;False;2;True;10763.444316666735
18;des;False;False;3;False;8363.261885140673
18;des;False;False;3;True;9067.29311982653
18;des;False;False;4;False;8363.261885140673
18;des;False;False;4;True;9067.29311982653
18;des;False;False;5;False;8363.261885140673
18;des;False;False;5;True;9067.29311982653
18;des;False;False;6;False;8363.261885140673
18;des;False;False;6;True;9067.29311982653
18;des;False;False;7;False;8363.261885140673
18;des;False;False;7;True;9067.29311982653
18;des;False;True;0;False;8815.310816223411
18;des;False;True;0;True;9529.0209826574
18;des;False;True;1;False;9639.250040018256
18;des;False;True;1;True;10388.959943352254
18;des;False;True;2;False;10380.445311536658
18;des;False;True;2;True;11124.630851844315
18;des;False;True;3;False;8679.02652075588
18;des;False;True;3;True;9391.290629707428
18;des;False;True;4;False;8679.02652075588
18;des;False;True;4;True;9391.290629707428
18;des;False;True;5;False;8679.02652075588
18;des;False;True;5;True;9391.290629707428
18;des;False;True;6;False;8679.02652075588
18;des;False;True;6;True;9391.290629707428
18;des;False;True;7;False;8679.02652075588
18;des;False;True;7;True;9391.290629707428
18;des;True;False;0;False;13420.95138013085
18;des;True;False;0;True;15843.253687939037
18;des;True;False;1;False;15499.026563617686
18;des;True;False;1;True;17736.26186878625
18;des;True;False;2;False;13082.393310320074
18;des;True;False;2;True;15313.036789598595
18;des;True;False;3;False;9993.03232415418
18;des;True;False;3;True;12094.2894001151
18;des;True;False;4;False;9993.03232415418
18;des;True;False;4;True;12094.2894001151
18;des;True;False;5;False;9993.03232415418
18;des;True;False;5;True;12094.2894001151
18;des;True;False;6;False;9993.03232415418
18;des;True;False;6;True;12094.2894001151
18;des;True;False;7;False;9993.03232415418
18;des;True;False;7;True;12094.2894001151
18;des;True;True;0;False;13427.17466577178
18;des;True;True;0;True;15944.512387202403
18;des;True;True;1;False;15582.684244339913
18;des;True;True;1;True;17937.646903300076
18;des;True;True;2;False;13106.052014266968
18;des;True;True;2;True;15431.620768916233
18;des;True;True;3;False;9958.326676165581
18;des;True;True;3;True;12123.69392740834
18;des;True;True;4;False;9958.326676165581
18;des;True;True;4;True;12123.69392740834
18;des;True;True;5;False;9958.326676165581
18;des;True;True;5;True;12123.69392740834
18;des;True;True;6;False;9958.326676165581
18;des;True;True;6;True;12123.69392740834
18;des;True;True;7;False;9958.326676165581
18;des;True;True;7;True;12123.69392740834
18;none;False;False;0;False;11455.397944508928
18;none;False;False;0;True;12747.926586296528
18;none;False;False;1;False;11344.160103502303
18;none;False;False;1;True;12632.152035748317
18;none;False;False;2;False;9755.098418121006
18;none;False;False;2;True;11077.41625095102
18;none;False;False;3;False;14272.809320234055
18;none;False;False;3;True;15543.561802230755
18;none;False;False;4;False;14272.809320234055
18;none;False;False;4;True;15543.561802230755
18;none;False;False;5;False;14272.809320234055
18;none;False;False;5;True;15543.561802230755
18;none;False;False;6;False;14272.809320234055
18;none;False;False;6;True;15543.561802230755
18;none;False;False;7;False;14272.809320234055
18;none;False;False;7;True;15543.561802230755
18;none;False;True;0;False;12620.701818594545
18;none;False;True;0;True;13876.557431441233
18;none;False;True;1;False;12503.233611896916
18;none;False;True;1;True;13756.12776036503
18;none;False;True;2;False;10887.577703389801
18;none;False;True;2;True;12215.378988665152
18;none;False;True;3;False;15508.327162493244
18;none;False;True;3;True;16686.870400246662
18;none;False;True;4;False;15508.327162493244
18;none;False;True;4;True;16686.870400246662
18;none;False;True;5;False;15508.327162493244
18;none;False;True;5;True;16686.870400246662
18;none;False;True;6;False;15508.327162493244
18;none;False;True;6;True;16686.870400246662
18;none;False;True;7;False;15508.327162493244
18;none;False;True;7;True;16686.870400246662
18;none;True;False;0;False;13420.95138013085
18;none;True;False;0;True;15843.253687939037
18;none;True;False;1;False;15499.026563617686
18;none;True;False;1;True;17736.26186878625
18;none;True;False;2;False;13082.393310320074
18;none;True;False;2;True;15313.036789598595
18;none;True;False;3;False;9993.03232415418
18;none;True;False;3;True;12094.2894001151
18;none;True;False;4;False;9993.03232415418
18;none;True;False;4;True;12094.2894001151
18;none;True;False;5;False;9993.03232415418
18;none;True;False;5;True;12094.2894001151
