age;educ;insch;male;nkids;married;credit_famille
18;dec;False;False;0;False;1.1483528695739767e-16
18;dec;False;False;0;True;2.3612963771669996e-17
18;dec;False;False;1;False;0.1576668932149271
18;dec;False;False;1;True;0.05894932078475498
18;dec;False;False;2;False;0.2403927860258921
18;dec;False;False;2;True;0.0974186130736098
18;dec;False;False;3;False;0.32015030930694566
18;dec;False;False;3;True;0.15125663362641206
18;dec;False;False;4;False;0.32015030930694566
18;dec;False;False;4;True;0.15125663362641206
18;dec;False;False;5;False;0.32015030930694566
18;dec;False;False;5;True;0.15125663362641206
18;dec;False;False;6;False;0.32015030930694566
18;dec;False;False;6;True;0.15125663362641206
18;dec;False;False;7;False;0.32015030930694566
18;dec;False;False;7;True;0.15125663362641206
18;dec;False;True;0;False;-6.498256943802316e-18
18;dec;False;True;0;True;-1.659113227809171e-17
18;dec;False;True;1;False;0.020987741824519193
18;dec;False;True;1;True;0.009826477309960977
18;dec;False;True;2;False;0.08113643516346496
18;dec;False;True;2;True;0.017208073045490255
18;dec;False;True;3;False;0.19494520148035913
18;dec;False;True;3;True;0.018780986331582816
18;dec;False;True;4;False;0.19494520148035913
18;dec;False;True;4;True;0.018780986331582816
18;dec;False;True;5;False;0.19494520148035913
18;dec;False;True;5;True;0.018780986331582816
18;dec;False;True;6;False;0.19494520148035913
18;dec;False;True;6;True;0.018780986331582816
18;dec;False;True;7;False;0.19494520148035913
18;dec;False;True;7;True;0.018780986331582816
18;dec;True;False;0;False;-1.6601280059806293e-17
18;dec;True;False;0;True;2.0099949202249683e-16
18;dec;True;False;1;False;0.110008491828403
18;dec;True;False;1;True;0.09588270841584522
18;dec;True;False;2;False;0.36383191360765976
18;dec;True;False;2;True;0.17267448381463285
18;dec;True;False;3;False;0.38843026121242
18;dec;True;False;3;True;0.39240929965857135
18;dec;True;False;4;False;0.38843026121242
18;dec;True;False;4;True;0.39240929965857135
18;dec;True;False;5;False;0.38843026121242
18;dec;True;False;5;True;0.39240929965857135
18;dec;True;False;6;False;0.38843026121242
18;dec;True;False;6;True;0.39240929965857135
18;dec;True;False;7;False;0.38843026121242
18;dec;True;False;7;True;0.39240929965857135
18;dec;True;True;0;False;-9.78683857948915e-18
18;dec;True;True;0;True;1.1709904476900233e-17
18;dec;True;True;1;False;2.0038042614080876e-17
18;dec;True;True;1;True;0.039822130302785044
18;dec;True;True;2;False;0.012122609980944186
18;dec;True;True;2;True;0.02424521996188838
18;dec;True;True;3;False;4.004199561639228e-17
18;dec;True;True;3;True;0.06706046346669589
18;dec;True;True;4;False;4.004199561639228e-17
18;dec;True;True;4;True;0.06706046346669589
18;dec;True;True;5;False;4.004199561639228e-17
18;dec;True;True;5;True;0.06706046346669589
18;dec;True;True;6;False;4.004199561639228e-17
18;dec;True;True;6;True;0.06706046346669589
18;dec;True;True;7;False;4.004199561639228e-17
18;dec;True;True;7;True;0.06706046346669589
18;des;False;False;0;False;6.795120489425004e-17
18;des;False;False;0;True;-9.617249988489285e-18
18;des;False;False;1;False;0.16038019618339755
18;des;False;False;1;True;0.06473402872958721
18;des;False;False;2;False;0.2912356213783895
18;des;False;False;2;True;0.14486697691651435
