age;male;Drugs;Hospitals;Other Institutions;Other Professionals;Physicians;Total
0;False;0.030058571951988702;0.025741092269703572;0.25332267100644923;0.16640024538350262;0.058102125285485764;0.029736638347839586
0;True;0.012861169644745497;0.022535122170139213;0.27844397624207173;0.1310565068257309;0.05854258797784752;0.027279766355859617
1;False;-0.013;0.016839055776512027;0.26762969678572157;0.07243048002780185;0.042124661165192326;0.03254054853998202
1;True;-0.013;0.028802197413971733;0.3072503272339192;0.07767248236076409;0.04731916071232169;0.038804793632677095
2;False;-0.013;0.013967933710889736;0.25531861282693896;0.0730842320492356;0.04304210023276585;0.033309906475787424
2;True;-0.013;0.0212277448840157;0.2925739133606581;0.0784290465247522;0.04910128581884561;0.03842162254293098
3;False;-0.013;0.011096811645267447;0.24300752886815635;0.07373798407066935;0.04395953930033937;0.03407926441159283
3;True;-0.013;0.013653292354059666;0.27789749948739695;0.07918561068874032;0.050883410925369535;0.038038451453184866
4;False;-0.009999877118726951;0.008225689579645158;0.23069644490937374;0.0743917360921031;0.04487697836791289;0.03484862234739823
4;True;-0.00724566820752977;0.006078839824103633;0.2632210856141358;0.07994217485272843;0.05266553603189346;0.03765528036343875
5;False;-0.0015395005219748115;0.005354567514022869;0.21838536095059113;0.07504548811353685;0.045794417435486415;0.035617980283203635
5;True;0.0038084486183937016;-0.0014956127058523994;0.2485446717408747;0.08069873901671655;0.05444766113841738;0.037272109273692636
6;False;0.005580439496919566;0.010530847199356009;0.1976223135127275;0.0746596070622985;0.04882846541028116;0.03610307608059235
6;True;0.013526759584690308;0.002839743259361727;0.2167444727791415;0.07670877737367475;0.05609488966586;0.03722253601760172
7;False;0.012700379515813943;0.01570712688468915;0.17685926607486385;0.07427372601106014;0.0518625133850759;0.03658817187798106
7;True;0.023245070550986915;0.0071750992245758535;0.18494427381740833;0.07271881573063296;0.057742118193302605;0.0371729627615108
8;False;0.019820319534708322;0.020883406570022293;0.15609621863700024;0.07388784495982179;0.05489656135987063;0.037073267675369774
8;True;0.03296338151728352;0.011510455189789983;0.15314407485567516;0.06872885408759116;0.05938934672074522;0.03712338950541988
