;tcam_long;tcam_last10;tcam_last5
consumption;0.020727502682153398;0.020598796194341906;0.02163251738648375
gdp;0.020420200809347477;0.023054176134992277;0.02698798276626979
wages;0.01592616627408816;0.022926324433236944;0.02790083065826865
inflation;0.025706746468516783;0.015072990514900075;0.01310421691402408
