age;educ;insch;male;nkids;married;cons_taxes
18;dec;False;False;0;False;0.12970827016889402
18;dec;False;False;0;True;0.12674312989391057
18;dec;False;False;1;False;0.13283011643635742
18;dec;False;False;1;True;0.12973820861903884
18;dec;False;False;2;False;0.1382488550352219
18;dec;False;False;2;True;0.13497710633784096
18;dec;False;False;3;False;0.13903821991739587
18;dec;False;False;3;True;0.13572818904295741
18;dec;False;False;4;False;0.13903821991739587
18;dec;False;False;4;True;0.13572818904295741
18;dec;False;False;5;False;0.13903821991739587
18;dec;False;False;5;True;0.13572818904295741
18;dec;False;False;6;False;0.13903821991739587
18;dec;False;False;6;True;0.13572818904295741
18;dec;False;False;7;False;0.13903821991739587
18;dec;False;False;7;True;0.13572818904295741
18;dec;False;True;0;False;0.13177479573082646
18;dec;False;True;0;True;0.12874466137261764
18;dec;False;True;1;False;0.1348907180115842
18;dec;False;True;1;True;0.13173268004965824
18;dec;False;True;2;False;0.14033955733072476
18;dec;False;True;2;True;0.13699943936009853
18;dec;False;True;3;False;0.14112116591353815
18;dec;False;True;3;True;0.13774255320270307
18;dec;False;True;4;False;0.14112116591353815
18;dec;False;True;4;True;0.13774255320270307
18;dec;False;True;5;False;0.14112116591353815
18;dec;False;True;5;True;0.13774255320270307
18;dec;False;True;6;False;0.14112116591353815
18;dec;False;True;6;True;0.13774255320270307
18;dec;False;True;7;False;0.14112116591353815
18;dec;False;True;7;True;0.13774255320270307
18;dec;True;False;0;False;0.12488871185838046
18;dec;True;False;0;True;0.12488871185838046
18;dec;True;False;1;False;0.12488871185838046
18;dec;True;False;1;True;0.12488871185838046
18;dec;True;False;2;False;0.12488871185838046
18;dec;True;False;2;True;0.12488871185838046
18;dec;True;False;3;False;0.12488871185838046
18;dec;True;False;3;True;0.12488871185838046
18;dec;True;False;4;False;0.12488871185838046
18;dec;True;False;4;True;0.12488871185838046
18;dec;True;False;5;False;0.12488871185838046
18;dec;True;False;5;True;0.12488871185838046
18;dec;True;False;6;False;0.12488871185838046
18;dec;True;False;6;True;0.12488871185838046
18;dec;True;False;7;False;0.12488871185838046
18;dec;True;False;7;True;0.12488871185838046
18;dec;True;True;0;False;0.12078326341930161
18;dec;True;True;0;True;0.12078326341930161
18;dec;True;True;1;False;0.12078326341930161
18;dec;True;True;1;True;0.12078326341930161
