age;educ;insch;male;nkids;married;taxinc
18;dec;False;False;0;False;299.45503379610204
18;dec;False;False;0;True;-2737.253679371135
18;dec;False;False;1;False;4683.853741429179
18;dec;False;False;1;True;1647.1450282619417
18;dec;False;False;2;False;3242.456758068124
18;dec;False;False;2;True;205.74804490088718
18;dec;False;False;3;False;4453.849777074893
18;dec;False;False;3;True;1417.1410639076557
18;dec;False;False;4;False;4453.849777074893
18;dec;False;False;4;True;1417.1410639076557
18;dec;False;False;5;False;4453.849777074893
18;dec;False;False;5;True;1417.1410639076557
18;dec;False;False;6;False;4453.849777074893
18;dec;False;False;6;True;1417.1410639076557
18;dec;False;False;7;False;4453.849777074893
18;dec;False;False;7;True;1417.1410639076557
18;dec;False;True;0;False;299.45503379610204
18;dec;False;True;0;True;-2737.253679371135
18;dec;False;True;1;False;4683.853741429179
18;dec;False;True;1;True;1647.1450282619417
18;dec;False;True;2;False;3242.456758068124
18;dec;False;True;2;True;205.74804490088718
18;dec;False;True;3;False;4453.849777074893
18;dec;False;True;3;True;1417.1410639076557
18;dec;False;True;4;False;4453.849777074893
18;dec;False;True;4;True;1417.1410639076557
18;dec;False;True;5;False;4453.849777074893
18;dec;False;True;5;True;1417.1410639076557
18;dec;False;True;6;False;4453.849777074893
18;dec;False;True;6;True;1417.1410639076557
18;dec;False;True;7;False;4453.849777074893
18;dec;False;True;7;True;1417.1410639076557
18;dec;True;False;0;False;1763.2188635165828
18;dec;True;False;0;True;-1709.0192303754986
18;dec;True;False;1;False;2950.7378809337188
18;dec;True;False;1;True;-521.5002129583627
18;dec;True;False;2;False;4398.578983615143
18;dec;True;False;2;True;926.340889723062
18;dec;True;False;3;False;3730.7739612036576
18;dec;True;False;3;True;258.5358673115761
18;dec;True;False;4;False;3730.7739612036576
18;dec;True;False;4;True;258.5358673115761
18;dec;True;False;5;False;3730.7739612036576
18;dec;True;False;5;True;258.5358673115761
18;dec;True;False;6;False;3730.7739612036576
18;dec;True;False;6;True;258.5358673115761
18;dec;True;False;7;False;3730.7739612036576
18;dec;True;False;7;True;258.5358673115761
18;dec;True;True;0;False;1763.2188635165828
18;dec;True;True;0;True;-1709.0192303754986
18;dec;True;True;1;False;2950.7378809337188
18;dec;True;True;1;True;-521.5002129583627
18;dec;True;True;2;False;4398.578983615143
18;dec;True;True;2;True;926.340889723062
18;dec;True;True;3;False;3730.7739612036576
18;dec;True;True;3;True;258.5358673115761
18;dec;True;True;4;False;3730.7739612036576
18;dec;True;True;4;True;258.5358673115761
18;dec;True;True;5;False;3730.7739612036576
18;dec;True;True;5;True;258.5358673115761
18;dec;True;True;6;False;3730.7739612036576
18;dec;True;True;6;True;258.5358673115761
18;dec;True;True;7;False;3730.7739612036576
18;dec;True;True;7;True;258.5358673115761
18;des;False;False;0;False;535.4712825508886
18;des;False;False;0;True;-2161.8065359853003
18;des;False;False;1;False;-57.47289102944933
18;des;False;False;1;True;-2754.7507095656383
18;des;False;False;2;False;2171.0255323801425
18;des;False;False;2;True;-526.2522861560465
18;des;False;False;3;False;4157.922705475443
18;des;False;False;3;True;1460.6448869392539
18;des;False;False;4;False;4157.922705475443
18;des;False;False;4;True;1460.6448869392539
18;des;False;False;5;False;4157.922705475443
18;des;False;False;5;True;1460.6448869392539
18;des;False;False;6;False;4157.922705475443
18;des;False;False;6;True;1460.6448869392539
18;des;False;False;7;False;4157.922705475443
18;des;False;False;7;True;1460.6448869392539
18;des;False;True;0;False;535.4712825508886
18;des;False;True;0;True;-2161.8065359853003
18;des;False;True;1;False;-57.47289102944933
18;des;False;True;1;True;-2754.7507095656383
18;des;False;True;2;False;2171.0255323801425
18;des;False;True;2;True;-526.2522861560465
18;des;False;True;3;False;4157.922705475443
18;des;False;True;3;True;1460.6448869392539
18;des;False;True;4;False;4157.922705475443
18;des;False;True;4;True;1460.6448869392539
18;des;False;True;5;False;4157.922705475443
18;des;False;True;5;True;1460.6448869392539
18;des;False;True;6;False;4157.922705475443
18;des;False;True;6;True;1460.6448869392539
18;des;False;True;7;False;4157.922705475443
18;des;False;True;7;True;1460.6448869392539
18;des;True;False;0;False;1763.2188635165828
18;des;True;False;0;True;-1709.0192303754986
18;des;True;False;1;False;2950.7378809337188
18;des;True;False;1;True;-521.5002129583627
18;des;True;False;2;False;4398.578983615143
18;des;True;False;2;True;926.340889723062
18;des;True;False;3;False;3730.7739612036576
18;des;True;False;3;True;258.5358673115761
18;des;True;False;4;False;3730.7739612036576
18;des;True;False;4;True;258.5358673115761
18;des;True;False;5;False;3730.7739612036576
18;des;True;False;5;True;258.5358673115761
18;des;True;False;6;False;3730.7739612036576
18;des;True;False;6;True;258.5358673115761
18;des;True;False;7;False;3730.7739612036576
18;des;True;False;7;True;258.5358673115761
18;des;True;True;0;False;1763.2188635165828
18;des;True;True;0;True;-1709.0192303754986
18;des;True;True;1;False;2950.7378809337188
18;des;True;True;1;True;-521.5002129583627
18;des;True;True;2;False;4398.578983615143
18;des;True;True;2;True;926.340889723062
18;des;True;True;3;False;3730.7739612036576
18;des;True;True;3;True;258.5358673115761
18;des;True;True;4;False;3730.7739612036576
18;des;True;True;4;True;258.5358673115761
18;des;True;True;5;False;3730.7739612036576
18;des;True;True;5;True;258.5358673115761
18;des;True;True;6;False;3730.7739612036576
18;des;True;True;6;True;258.5358673115761
18;des;True;True;7;False;3730.7739612036576
18;des;True;True;7;True;258.5358673115761
18;none;False;False;0;False;3065.5557970365226
18;none;False;False;0;True;2351.064468416503
18;none;False;False;1;False;2479.174560145336
18;none;False;False;1;True;1764.6832315253164
18;none;False;False;2;False;5023.735386853574
18;none;False;False;2;True;4309.244058233555
18;none;False;False;3;False;4061.433055667072
18;none;False;False;3;True;3346.9417270470526
